war_id,war_name,war_type,war_type_code,start_date,end_date,belligerents_side1,belligerents_side2,initiator,outcome,total_deaths,where_fought,source_file
NS1506,Siam-Kedah War,Non-State War (非国家战争),8,1821-11-01,1821-12-01,Thailand; -8,Kedah; -8; -8; -8; -8,Thailand,胜利 (Victory),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
IN503,Spanish Royalists,Intra-State War (国内战争-中央政府),4,1821-12-01,1823-04-06,Spain,Royalists,,转型 (Transformed),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IS1,Franco-Spanish War,Inter-State War (国家间战争),1,1823-04-07,1823-11-13,France,Spain,France,胜利 (Victory),1000,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
ES310,First British-Burmese,Extra-State War (国家对外战争),3,1823-09-24,1826-02-24,United Kingdom,Burma,,胜利 (Victory),15000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES311,First British-Ashanti,Extra-State War (国家对外战争),3,1824-01-20,1826-08-07,United Kingdom,Ashanti-Ghana,,胜利 (Victory),1400,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES312,Liberation of Peru,Extra-State War (国家对外战争),2,1824-02-04,1825-04-02,Spain,Latin American revolutionaries,,失败 (Defeat),2000,北美 (North America),Extra-StateWarData_v4.0.csv
IN507,Egypt-Mehdi,Intra-State War (国内战争-非政府),6,1824-03-20,1824-04-01,Egypt,Mehdi army,,胜利 (Victory),-18,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
NS1508,China-Kashgaria War,Non-State War (非国家战争),8,1825-01-01,1828-01-01,China; -8,Muslim rebels; -8; -8; -8; -8,China,胜利 (Victory),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES313,Dutch - Javanese,Extra-State War (国家对外战争),2,1825-07-23,1830-03-28,Netherlands,Javanese rebels,,胜利 (Victory),15000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1509,Mexico-Yaqui Indian War,Non-State War (非国家战争),8,1825-10-25,1827-04-13,Mexico; -8,Yaqui Indians; -8; -8; -8; -8,Mexico,妥协 (Compromise),0,北美 (North America),Non-StateWarData_v4.0.csv
ES314,British-Bharatpuran,Extra-State War (国家对外战争),2,1825-11-23,1826-01-18,United Kingdom,Bharatpuran rebels,,胜利 (Victory),400,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1510,Central American Confederation War,Non-State War (非国家战争),8,1826-01-01,1829-04-12,Conservative Confederation; -8,Liberals; -8; -8; -8; -8,Liberals,失败 (Defeat),3300,北美 (North America),Non-StateWarData_v4.0.csv
NS1511,Viang Chan- Siamese War,Non-State War (非国家战争),8,1826-01-01,1827-05-15,Viang Chan; -8,Siam; -8; -8; -8; -8,Viang Chan,失败 (Defeat),31000,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES315,Brazil-Argentine,Extra-State War (国家对外战争),3,1826-01-01,1828-10-27,Brazil,Argentina,,失败 (Defeat),4000,北美 (North America),Extra-StateWarData_v4.0.csv
IN508,Janissari Revolt,Intra-State War (国内战争-中央政府),4,1826-06-14,1826-09-30,Ottoman Empire,Janissaries,,胜利 (Victory),6300,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
ES316,Russo-Persian,Extra-State War (国家对外战争),3,1826-09-28,1828-02-28,Russia,Persia,,胜利 (Victory),5000,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IS4,First Russo-Turkish,Inter-State War (国家间战争),1,1828-04-26,1829-09-14,Russia,Ottoman Empire,Russia,胜利 (Victory),130000,Unknown,Inter-StateWarData_v4.0.csv
NS1512,Peru-Gran Colombia War,Non-State War (非国家战争),8,1828-07-03,1829-02-28,Peru; -8,Gran Colombia; -8; -8; -8; -8,Peru,失败 (Defeat),4000,北美 (North America),Non-StateWarData_v4.0.csv
NS1513,Argentine War for Unity,Non-State War (非国家战争),8,1829-04-26,1831-11-30,Unitarians; -8,Provinces; -8; -8; -8; -8,Unitarians,失败 (Defeat),0,北美 (North America),Non-StateWarData_v4.0.csv
ES317,Spanish Reconquest of Mexico,Extra-State War (国家对外战争),3,1829-07-16,1829-09-11,Spain,Mexico,Spain,失败 (Defeat),1700,北美 (North America),Extra-StateWarData_v4.0.csv
NS1514,Sayyid Said War,Non-State War (非国家战争),8,1829-12-18,1830-05-09,Sayyid Said; -8,Mombasa; -8; -8; -8; -8,Sayyid Said,胜利 (Victory),0,拉美 (Latin America),Non-StateWarData_v4.0.csv
IN511,First Murid War,Intra-State War (国内战争-地方政府),5,1830-01-01,1832-10-17,Russia,Ghazi Muhammad,,胜利 (Victory),1500,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN512,First Albanian Revolt,Intra-State War (国内战争-地方政府),5,1830-02-01,1831-11-01,Ottoman Empire,Albanians,,胜利 (Victory),15000,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
ES319,French Occupation of Algiers,Extra-State War (国家对外战争),3,1830-06-12,1830-07-05,France,Algeria,France,胜利 (Victory),600,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IN513,First French Insurrection,Intra-State War (国内战争-中央政府),4,1830-07-25,1830-07-29,France,Liberals,,失败 (Defeat),2200,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN515,Belgian Independence,Intra-State War (国内战争-地方政府),5,1830-08-25,1830-11-04,Netherlands,Belgians,,失败 (Defeat),1100,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
NS1515,China-Kokand War,Non-State War (非国家战争),8,1830-09-01,1831-11-01,China; -8,Kokand; -8; -8; -8; -8,China,胜利 (Victory),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
IN516,Egyptian Taka Expedition,Intra-State War (国内战争-非政府),6,1831-01-01,1832-01-01,Egypt,Hadendowa,,失败 (Defeat),1491,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
NS1516,Siam-Cambodia-Vietnam War,Non-State War (非国家战争),8,1831-01-01,1834-01-01,Thailand; -8,Cambodia; Vietnam; -8; -8; -8,Thailand,失败 (Defeat),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
IN517,First Polish,Intra-State War (国内战争-地方政府),5,1831-02-07,1831-10-18,Russia,Poles,,胜利 (Victory),35000,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN510,Miguelite War,Intra-State War (国内战争-中央政府),4,1831-07-01,1834-05-26,-8; Portugal,United Kingdom; Constitutionalists,,失败 (Defeat),20092,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN518,First Syrian,Intra-State War (国内战争-地方政府),5,1831-10-01,1832-12-27,Ottoman Empire,Egyptians & Bashir,,失败 (Defeat),12000,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
IN520,First Mexican,Intra-State War (国内战争-中央政府),4,1832-01-02,1832-12-11,Mexico,Liberals,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
ES320,Ottoman-Bilmez-Asiri War,Extra-State War (国家对外战争),3,1832-06-01,1837-01-01,Ottoman Empire,Bilmez-Asiri,,胜利 (Victory),0,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
NS1518,Argentina-Ranqueles Indian War,Non-State War (非国家战争),8,1833-03-16,1834-03-25,Argentina; -8,Ranqueles Indians; -8; -8; -8; -8,Argentina,胜利 (Victory),6000,北美 (North America),Non-StateWarData_v4.0.csv
IN521,Egypt- Palestinian Anti-Conscription Revolt,Intra-State War (国内战争-非政府),6,1834-04-19,1834-10-01,Palestinians,Egypt,,失败 (Defeat),2000,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
IN523,Second Murid,Intra-State War (国内战争-地方政府),5,1834-09-26,1834-10-27,Russia,Shamil,,释放 (Released),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN525,Cabanos Revolt,Intra-State War (国内战争-地方政府),5,1835-01-06,1837-05-01,Brazil,Cabanos,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
NS1520,Bolivia Conquest of Peru,Non-State War (非国家战争),8,1835-06-16,1836-02-07,Bolivia; -8,Peru; -8; -8; -8; -8,Bolivia,胜利 (Victory),0,北美 (North America),Non-StateWarData_v4.0.csv
IN526,Farroupilha War,Intra-State War (国内战争-地方政府),5,1835-09-19,1845-03-01,Brazil,Farrapos,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN527,Texan,Intra-State War (国内战争-地方政府),5,1835-10-01,1836-04-22,Mexico,Texans,,失败 (Defeat),2200,北美 (North America),Intra-StateWarData_v4.1.csv
IN522,First Carlist War,Intra-State War (国内战争-中央政府),4,1835-10-15,1836-02-15,Portugal; Spain; France; United Kingdom,-8; Carlists; -8; -8,,胜利 (Victory),135226,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN528,First Bosnian,Intra-State War (国内战争-地方政府),5,1836-01-01,1837-01-01,Ottoman Empire,Bosnians,,胜利 (Victory),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN530,Third Murid,Intra-State War (国内战争-地方政府),5,1836-07-01,1852-01-01,Russia,Shamil,,胜利 (Victory),14991,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
NS1521,Boer-Matabele War,Non-State War (非国家战争),8,1836-08-15,1837-11-12,Boer Trekkers; -8,Matabele; -8; -8; -8; -8,Matabele,胜利 (Victory),3350,拉美 (Latin America),Non-StateWarData_v4.0.csv
IN532,Druze Rebellion,Intra-State War (国内战争-非政府),6,1837-09-27,1838-08-22,Egypt & Bashir,Druze,,胜利 (Victory),14991,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
NS1523,Dissolution of the Bolivia-Peru Confederation,Non-State War (非国家战争),8,1837-11-01,1839-01-20,Chile  ; Argentina,Peru-Bolivia Confederation; -8; -8; -8; -8,Chile  ,胜利 (Victory),2900,北美 (North America),Non-StateWarData_v4.0.csv
IN531,Sabinada Rebellion,Intra-State War (国内战争-地方政府),5,1837-11-07,1838-03-13,Brazil,Bahian Sabinada,,胜利 (Victory),1800,北美 (North America),Intra-StateWarData_v4.1.csv
NS1524,Persian Siege of Heart,Non-State War (非国家战争),8,1837-11-22,1838-09-09,Persia; -8,Herat; -8; -8; -8; -8,Persia,失败 (Defeat),1700,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1525,Boer-Zulu War,Non-State War (非国家战争),8,1838-02-06,1838-12-20,Boer Trekkers; -8,Zulu; -8; -8; -8; -8,Zulu,胜利 (Victory),3700,拉美 (Latin America),Non-StateWarData_v4.0.csv
ES321,First British-Zulu,Extra-State War (国家对外战争),3,1838-04-17,1838-04-01,United Kingdom,Zulu tribe,United Kingdom,失败 (Defeat),800,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES322,First British-Afghan,Extra-State War (国家对外战争),3,1839-02-14,1842-10-12,United Kingdom,Afghanistan,United Kingdom,失败 (Defeat),20000,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1527,Anti-Rosas War,Non-State War (非国家战争),8,1839-02-24,1840-12-31,Anti-Rosas Allies; -8,Rosas Federalist Army; -8; -8; -8; -8,Anti-Rosas Allies,转型 (Transformed),3000,北美 (North America),Non-StateWarData_v4.0.csv
NS1528,Dissolution of  the Central American Confederation,Non-State War (非国家战争),8,1839-03-19,1840-03-21,Conservatives; -8,Liberals; -8; -8; -8; -8,Conservatives,胜利 (Victory),3700,北美 (North America),Non-StateWarData_v4.0.csv
IN533,"Second Syrian, Phase 1",Intra-State War (国内战争-地方政府),5,1839-06-10,1839-06-24,Ottoman Empire,Egypt,,失败 (Defeat),3000,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
ES323,First Opium,Extra-State War (国家对外战争),3,1839-09-04,1842-08-29,United Kingdom,China,United Kingdom,胜利 (Victory),450,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES324,First Franco-Algerian,Extra-State War (国家对外战争),3,1839-11-01,1847-12-23,France,Algerian forces,,胜利 (Victory),15000,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IN535,Lebanon Insurgency,Intra-State War (国内战争-非政府),6,1840-05-27,1840-07-13,Lebanese Maronites,Amir Bashir & Egypt,,失败 (Defeat),4500,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
IN536,First Colombian,Intra-State War (国内战争-中央政府),4,1840-07-15,1842-07-15,Colombia,Progressives,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN537,"Second Syrian, Phase 2",Intra-State War (国内战争-地方政府),5,1840-09-09,1840-11-27,United Kingdom; Ottoman Empire,-8; Egypt,,胜利 (Victory),27006,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
IN540,Second Bosnian,Intra-State War (国内战争-地方政府),5,1841-01-01,1841-01-01,Ottoman Empire,Bosnians,,胜利 (Victory),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN538,"First Argentina War, Phase 2",Intra-State War (国内战争-中央政府),4,1841-01-01,1842-12-06,Argentina,Unitarios,,胜利 (Victory),3300,北美 (North America),Intra-StateWarData_v4.1.csv
NS1530,Dogra-Tibet War,Non-State War (非国家战争),8,1841-05-01,1842-10-17,Jammu; -8,Tibet; -8; -8; -8; -8,Jammu,妥协 (Compromise),4000,亚洲 (Asia),Non-StateWarData_v4.0.csv
IN541,Triangular Revolt,Intra-State War (国内战争-中央政府),4,1841-09-04,1841-10-06,Mexico,Military,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
ES325,Peru-Bolivian,Extra-State War (国家对外战争),3,1841-10-19,1841-11-28,Peru,Bolivia,,失败 (Defeat),600,北美 (North America),Extra-StateWarData_v4.0.csv
IN542,Karbala Revolt,Intra-State War (国内战争-地方政府),5,1842-12-19,1843-01-13,Ottoman Empire,Karbala,,胜利 (Victory),4600,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
ES326,British-Sind,Extra-State War (国家对外战争),3,1843-01-06,1843-06-14,United Kingdom,Sind,United Kingdom,胜利 (Victory),200,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES327,Uruguay War,Extra-State War (国家对外战争),3,1843-02-16,1851-07-18,Argentina; -8; -8,Uruguay; United Kingdom; France,Argentina,转型 (Transformed),2500,北美 (North America),Extra-StateWarData_v4.0.csv
ES329,Gwalior,Extra-State War (国家对外战争),3,1843-12-28,1843-12-29,United Kingdom,Gwalior,United Kingdom,胜利 (Victory),106,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1531,First Haiti-Santo Domingo War,Non-State War (非国家战争),8,1844-02-27,1845-12-21,Santo Domingo; -8,Haitians; -8; -8; -8; -8,Santo Domingo,僵局 (Stalemate),0,北美 (North America),Non-StateWarData_v4.0.csv
ES330,Franco-Moroccan,Extra-State War (国家对外战争),3,1844-08-06,1844-09-10,France,Morocco,France,胜利 (Victory),200,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IN543,First Maronite-Druze,Intra-State War (国内战争-非政府),7,1845-04-30,1845-05-31,Maronites,Druze,,失败 (Defeat),3000,中东/北非 (Middle East/North Africa),Intra-StateWarData_v4.1.csv
ES331,First British-Sikh,Extra-State War (国家对外战争),3,1845-12-13,1846-02-10,United Kingdom,Sikhs,,胜利 (Victory),1500,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES332,Cracow Revolt,Extra-State War (国家对外战争),3,1846-02-01,1846-03-03,Russia; Prussia; Austria,-8; -8; Cracow,,胜利 (Victory),1000,西欧 (Western Europe),Extra-StateWarData_v4.0.csv
ES333,First British-Xhosa,Extra-State War (国家对外战争),3,1846-04-16,1847-12-23,United Kingdom,Khosa,United Kingdom,胜利 (Victory),1000,拉美 (Latin America),Extra-StateWarData_v4.0.csv
IS7,Mexican-American,Inter-State War (国家间战争),1,1846-04-25,1847-09-14,United States of America,Mexico,United States of America,胜利 (Victory),19283,北美 (North America),Inter-StateWarData_v4.0.csv
NS1533,War of  Seven Khojas,Non-State War (非国家战争),8,1847-01-01,1848-01-01,Kokand; -8,China; -8; -8; -8; -8,Kokand,失败 (Defeat),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
IN545,"Mayan Caste War, Phase 1",Intra-State War (国内战争-非政府),6,1847-01-15,1848-08-16,Mayans,Yucutan,,转型 (Transformed),1791,北美 (North America),Intra-StateWarData_v4.1.csv
IN546,Second Carlist,Intra-State War (国内战争-中央政府),4,1847-05-15,1849-05-01,Spain,Carlists,,胜利 (Victory),10000,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN547,Second Two Sicilies,Intra-State War (国内战争-中央政府),4,1848-01-12,1848-01-27,Two Sicilies,Liberals,,胜利 (Victory),1491,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN548,First Venezuelan,Intra-State War (国内战争-中央政府),4,1848-02-04,1849-08-15,Venezuela,Paez led Conservatives ,,胜利 (Victory),1491,北美 (North America),Intra-StateWarData_v4.1.csv
IN550,Viennese Revolt,Intra-State War (国内战争-中央政府),4,1848-03-13,1848-10-31,Austria,Viennese,,胜利 (Victory),3249,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN551,Milan Five Day Revolt,Intra-State War (国内战争-地方政府),5,1848-03-18,1848-03-23,Austria,Milan,,转型 (Transformed),1030,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IS10,Austro-Sardinian,Inter-State War (国家间战争),1,1848-03-29,1848-08-09,Austria,Tuscany; Italy; Modena,Modena,胜利 (Victory),7527,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
IS13,First Schleswig-Holstein,Inter-State War (国家间战争),1,1848-04-10,1848-08-26,Prussia,Denmark,Denmark,胜利 (Victory),6000,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
ES334,First Dutch-Bali,Extra-State War (国家对外战争),3,1848-04-12,1848-06-21,Netherlands,Bali,Netherlands,僵局 (Stalemate),300,亚洲 (Asia),Extra-StateWarData_v4.0.csv
ES335,Second British-Sikh,Extra-State War (国家对外战争),3,1848-05-18,1849-03-10,United Kingdom,Sikhs,United Kingdom,胜利 (Victory),1500,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IN552,Second French Insurrection,Intra-State War (国内战争-中央政府),4,1848-06-23,1848-06-26,France,Radicals,,胜利 (Victory),2800,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IN553,"Mayan Caste War, Phase 2",Intra-State War (国内战争-地方政府),5,1848-08-17,1855-03-04,Mexico,Yucatan Maya,,胜利 (Victory),-18,北美 (North America),Intra-StateWarData_v4.1.csv
IN554,Hungarian,Intra-State War (国内战争-地方政府),5,1848-09-09,1849-08-13,Austria; Russia,Hungary; -8,,胜利 (Victory),80492,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IS16,Roman Republic,Inter-State War (国家间战争),1,1849-04-30,1849-07-02,France; Two Sicilies; Austria,Papal States,Papal States,胜利 (Victory),2600,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
ES336,Chinese Pirates,Extra-State War (国家对外战争),3,1849-10-20,1849-10-22,United Kingdom,Chinese Pirates,United Kingdom,胜利 (Victory),0,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1534,Taiping Rebellion Phase 1,Non-State War (非国家战争),8,1850-12-01,1860-10-24,Taiping rebels; -8,China; -8; -8; -8; -8,Taiping rebels,转型 (Transformed),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES337,Second British-Xhosa,Extra-State War (国家对外战争),2,1850-12-24,1852-04-08,United Kingdom,Xhosa,United Kingdom,胜利 (Victory),1400,拉美 (Latin America),Extra-StateWarData_v4.0.csv
ES338,Ottoman-Yam,Extra-State War (国家对外战争),3,1851-04-21,1851-07-09,Turkey/Ottoman Empire/Egypt,Yam,,胜利 (Victory),0,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
IS19,La Plata,Inter-State War (国家间战争),1,1851-07-19,1852-02-03,Brazil,Argentina,Brazil,胜利 (Victory),1300,北美 (North America),Inter-StateWarData_v4.0.csv
IN555,First Chilean,Intra-State War (国内战争-中央政府),4,1851-09-05,1851-12-15,Chile,Liberals,,胜利 (Victory),4000,北美 (North America),Intra-StateWarData_v4.1.csv
NS1535,First Tukulor War,Non-State War (非国家战争),8,1852-01-01,1854-01-01,al-Hajj Umar's Tukulor army; -8,Malinke; -8; -8; -8; -8,al-Hajj Umar's Tukulor army,胜利 (Victory),10000,拉美 (Latin America),Non-StateWarData_v4.0.csv
NS1536,Kashmir-Dards of Chilas War,Non-State War (非国家战争),8,1852-01-01,1852-01-01,Kashmir; -8,Dards; -8; -8; -8; -8,Dards,失败 (Defeat),2000,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES339,Second British-Burmese,Extra-State War (国家对外战争),3,1852-04-05,1852-11-20,United Kingdom,Burma,United Kingdom,胜利 (Victory),400,亚洲 (Asia),Extra-StateWarData_v4.0.csv
IN556,First Turco-Montenegrin,Intra-State War (国内战争-地方政府),5,1852-12-02,1853-03-13,Ottoman Empire,Montenegro & Hercegovina,,失败 (Defeat),-18,西欧 (Western Europe),Intra-StateWarData_v4.1.csv
IS22,Crimean,Inter-State War (国家间战争),1,1853-10-23,1856-03-01,Turkey; Italy; France; United Kingdom,Russia,Russia,胜利 (Victory),264200,西欧 (Western Europe),Inter-StateWarData_v4.0.csv
IN557,First Peru,Intra-State War (国内战争-中央政府),4,1853-12-21,1855-01-07,Peru,Liberals,,失败 (Defeat),-18,北美 (North America),Intra-StateWarData_v4.1.csv
ES340,French-Tukulor War,Extra-State War (国家对外战争),3,1854-01-01,1857-07-15,France,Tukulor,,僵局 (Stalemate),100,拉美 (Latin America),Extra-StateWarData_v4.0.csv
NS1537,Han-Miao War Phase 1,Non-State War (非国家战争),8,1854-03-25,1860-10-24,Han; -8,Miao; -8; -8; -8; -8,Miao,转型 (Transformed),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
NS1539,Han-Nien War,Non-State War (非国家战争),8,1855-01-01,1858-01-01,Han; -8,Nian; -8; -8; -8; -8,Nian,僵局 (Stalemate),0,亚洲 (Asia),Non-StateWarData_v4.0.csv
ES341,British-Santal,Extra-State War (国家对外战争),2,1855-01-01,1856-01-01,United Kingdom,Santal,,胜利 (Victory),0,亚洲 (Asia),Extra-StateWarData_v4.0.csv
NS1538,Second Haiti-Santo Domingo War,Non-State War (非国家战争),8,1855-11-01,1856-01-27,Haiti; -8,Santo-Domingo; -8; -8; -8; -8,Haiti,失败 (Defeat),0,北美 (North America),Non-StateWarData_v4.0.csv
IN558,Puebla War,Intra-State War (国内战争-中央政府),4,1855-12-11,1856-03-21,Mexico,Puebla,,胜利 (Victory),3600,北美 (North America),Intra-StateWarData_v4.1.csv
ES342,Hodeida Seige,Extra-State War (国家对外战争),2,1856-01-22,1856-02-22,Ottoman Empire,Beni Aseer tribe,,僵局 (Stalemate),1700,中东/北非 (Middle East/North Africa),Extra-StateWarData_v4.0.csv
